127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001415
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000844
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000597
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000754
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000509
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.002166
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000494
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.008352
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.009486
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002040
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005349
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.003872
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000463
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002695
127.0.0.1, 2014-02-17 22:54:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.004279
127.0.0.1, 2014-02-17 23:06:44, GET, /topolab/default/prueba, HTTP/1.1, 200, 0.058745
127.0.0.1, 2014-02-17 23:06:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.047536
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000706
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.000690
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.002224
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.000470
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.005076
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001150
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000496
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000491
127.0.0.1, 2014-02-17 23:12:24, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.012401
127.0.0.1, 2014-02-17 23:12:25, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000782
